3D Run ID,Shift,h,swA,swB,tet
246,4,10,5.53333,1,1.29154
247,4,0.5,5.53333,3.26667,1.29154
248,4,2.4,5.53333,3.26667,1.29154
249,4,4.3,5.53333,3.26667,1.29154
250,4,6.2,5.53333,3.26667,1.29154
251,4,8.1,5.53333,3.26667,1.29154
252,4,10,5.53333,3.26667,1.29154
253,4,0.5,5.53333,5.53333,1.29154
254,4,2.4,5.53333,5.53333,1.29154
255,4,4.3,5.53333,5.53333,1.29154
256,4,6.2,5.53333,5.53333,1.29154
257,4,8.1,5.53333,5.53333,1.29154
258,4,10,5.53333,5.53333,1.29154
259,4,0.5,5.53333,7.8,1.29154
260,4,2.4,5.53333,7.8,1.29154
261,4,4.3,5.53333,7.8,1.29154
262,4,6.2,5.53333,7.8,1.29154
263,4,8.1,5.53333,7.8,1.29154
264,4,10,5.53333,7.8,1.29154
265,4,0.5,7.8,1,1.29154
266,4,2.4,7.8,1,1.29154
267,4,4.3,7.8,1,1.29154
268,4,6.2,7.8,1,1.29154
269,4,8.1,7.8,1,1.29154
270,4,10,7.8,1,1.29154
271,4,0.5,7.8,3.26667,1.29154
272,4,2.4,7.8,3.26667,1.29154
273,4,4.3,7.8,3.26667,1.29154
274,4,6.2,7.8,3.26667,1.29154
275,4,8.1,7.8,3.26667,1.29154
276,4,10,7.8,3.26667,1.29154
277,4,0.5,7.8,5.53333,1.29154
278,4,2.4,7.8,5.53333,1.29154
279,4,4.3,7.8,5.53333,1.29154
280,4,6.2,7.8,5.53333,1.29154
281,4,8.1,7.8,5.53333,1.29154
282,4,10,7.8,5.53333,1.29154
283,4,0.5,7.8,7.8,1.29154
284,4,2.4,7.8,7.8,1.29154
285,4,4.3,7.8,7.8,1.29154
286,4,6.2,7.8,7.8,1.29154
287,4,8.1,7.8,7.8,1.29154
288,4,10,7.8,7.8,1.29154
289,4,0.5,1,1,1.32645
290,4,2.4,1,1,1.32645
291,4,4.3,1,1,1.32645
292,4,6.2,1,1,1.32645
293,4,8.1,1,1,1.32645
294,4,10,1,1,1.32645
295,4,0.5,1,3.26667,1.32645
296,4,2.4,1,3.26667,1.32645
297,4,4.3,1,3.26667,1.32645
298,4,6.2,1,3.26667,1.32645
299,4,8.1,1,3.26667,1.32645
300,4,10,1,3.26667,1.32645
301,4,0.5,1,5.53333,1.32645
302,4,2.4,1,5.53333,1.32645
303,4,4.3,1,5.53333,1.32645
304,4,6.2,1,5.53333,1.32645
305,4,8.1,1,5.53333,1.32645
306,4,10,1,5.53333,1.32645
307,4,0.5,1,7.8,1.32645
308,4,2.4,1,7.8,1.32645
309,4,4.3,1,7.8,1.32645
310,4,6.2,1,7.8,1.32645
311,4,8.1,1,7.8,1.32645
312,4,10,1,7.8,1.32645
313,4,0.5,3.26667,1,1.32645
314,4,2.4,3.26667,1,1.32645
315,4,4.3,3.26667,1,1.32645
316,4,6.2,3.26667,1,1.32645
317,4,8.1,3.26667,1,1.32645
318,4,10,3.26667,1,1.32645
319,4,0.5,3.26667,3.26667,1.32645
320,4,2.4,3.26667,3.26667,1.32645
321,4,4.3,3.26667,3.26667,1.32645
322,4,6.2,3.26667,3.26667,1.32645
323,4,8.1,3.26667,3.26667,1.32645
324,4,10,3.26667,3.26667,1.32645
325,4,0.5,3.26667,5.53333,1.32645
