3D Run ID,Shift,swA,swB,tet
505,2.5,3.57143,1.72857,1.32645
506,2.5,3.57143,2.34286,1.32645
507,2.5,3.57143,2.95714,1.32645
508,2.5,3.57143,3.57143,1.32645
509,2.5,3.57143,4.18571,1.32645
510,2.5,3.57143,4.8,1.32645
511,2.5,4.18571,0.5,1.32645
512,2.5,4.18571,1.11429,1.32645
513,2.5,4.18571,1.72857,1.32645
514,2.5,4.18571,2.34286,1.32645
515,2.5,4.18571,2.95714,1.32645
516,2.5,4.18571,3.57143,1.32645
517,2.5,4.18571,4.18571,1.32645
518,2.5,4.18571,4.8,1.32645
519,2.5,4.8,0.5,1.32645
520,2.5,4.8,1.11429,1.32645
521,2.5,4.8,1.72857,1.32645
522,2.5,4.8,2.34286,1.32645
523,2.5,4.8,2.95714,1.32645
524,2.5,4.8,3.57143,1.32645
525,2.5,4.8,4.18571,1.32645
526,2.5,4.8,4.8,1.32645
527,2.5,0.5,0.5,1.36136
528,2.5,0.5,1.11429,1.36136
529,2.5,0.5,1.72857,1.36136
530,2.5,0.5,2.34286,1.36136
531,2.5,0.5,2.95714,1.36136
532,2.5,0.5,3.57143,1.36136
533,2.5,0.5,4.18571,1.36136
534,2.5,0.5,4.8,1.36136
535,2.5,1.11429,0.5,1.36136
536,2.5,1.11429,1.11429,1.36136
537,2.5,1.11429,1.72857,1.36136
538,2.5,1.11429,2.34286,1.36136
539,2.5,1.11429,2.95714,1.36136
540,2.5,1.11429,3.57143,1.36136
541,2.5,1.11429,4.18571,1.36136
542,2.5,1.11429,4.8,1.36136
543,2.5,1.72857,0.5,1.36136
544,2.5,1.72857,1.11429,1.36136
545,2.5,1.72857,1.72857,1.36136
546,2.5,1.72857,2.34286,1.36136
547,2.5,1.72857,2.95714,1.36136
548,2.5,1.72857,3.57143,1.36136
549,2.5,1.72857,4.18571,1.36136
550,2.5,1.72857,4.8,1.36136
551,2.5,2.34286,0.5,1.36136
552,2.5,2.34286,1.11429,1.36136
553,2.5,2.34286,1.72857,1.36136
554,2.5,2.34286,2.34286,1.36136
555,2.5,2.34286,2.95714,1.36136
556,2.5,2.34286,3.57143,1.36136
557,2.5,2.34286,4.18571,1.36136
558,2.5,2.34286,4.8,1.36136
559,2.5,2.95714,0.5,1.36136
560,2.5,2.95714,1.11429,1.36136
561,2.5,2.95714,1.72857,1.36136
562,2.5,2.95714,2.34286,1.36136
563,2.5,2.95714,2.95714,1.36136
564,2.5,2.95714,3.57143,1.36136
565,2.5,2.95714,4.18571,1.36136
566,2.5,2.95714,4.8,1.36136
567,2.5,3.57143,0.5,1.36136
568,2.5,3.57143,1.11429,1.36136
569,2.5,3.57143,1.72857,1.36136
570,2.5,3.57143,2.34286,1.36136
571,2.5,3.57143,2.95714,1.36136
572,2.5,3.57143,3.57143,1.36136
573,2.5,3.57143,4.18571,1.36136
574,2.5,3.57143,4.8,1.36136
575,2.5,4.18571,0.5,1.36136
576,2.5,4.18571,1.11429,1.36136
577,2.5,4.18571,1.72857,1.36136
578,2.5,4.18571,2.34286,1.36136
579,2.5,4.18571,2.95714,1.36136
580,2.5,4.18571,3.57143,1.36136
581,2.5,4.18571,4.18571,1.36136
582,2.5,4.18571,4.8,1.36136
583,2.5,4.8,0.5,1.36136
584,2.5,4.8,1.11429,1.36136
585,2.5,4.8,1.72857,1.36136
586,2.5,4.8,2.34286,1.36136
587,2.5,4.8,2.95714,1.36136
588,2.5,4.8,3.57143,1.36136
589,2.5,4.8,4.18571,1.36136
590,2.5,4.8,4.8,1.36136
591,2.5,0.5,0.5,1.39626
592,2.5,0.5,1.11429,1.39626
593,2.5,0.5,1.72857,1.39626
594,2.5,0.5,2.34286,1.39626
595,2.5,0.5,2.95714,1.39626
596,2.5,0.5,3.57143,1.39626
597,2.5,0.5,4.18571,1.39626
598,2.5,0.5,4.8,1.39626
599,2.5,1.11429,0.5,1.39626
600,2.5,1.11429,1.11429,1.39626
601,2.5,1.11429,1.72857,1.39626
602,2.5,1.11429,2.34286,1.39626
603,2.5,1.11429,2.95714,1.39626
604,2.5,1.11429,3.57143,1.39626
605,2.5,1.11429,4.18571,1.39626
606,2.5,1.11429,4.8,1.39626
607,2.5,1.72857,0.5,1.39626
608,2.5,1.72857,1.11429,1.39626
609,2.5,1.72857,1.72857,1.39626
610,2.5,1.72857,2.34286,1.39626
611,2.5,1.72857,2.95714,1.39626
612,2.5,1.72857,3.57143,1.39626
613,2.5,1.72857,4.18571,1.39626
614,2.5,1.72857,4.8,1.39626
615,2.5,2.34286,0.5,1.39626
616,2.5,2.34286,1.11429,1.39626
617,2.5,2.34286,1.72857,1.39626
618,2.5,2.34286,2.34286,1.39626
619,2.5,2.34286,2.95714,1.39626
620,2.5,2.34286,3.57143,1.39626
621,2.5,2.34286,4.18571,1.39626
622,2.5,2.34286,4.8,1.39626
623,2.5,2.95714,0.5,1.39626
624,2.5,2.95714,1.11429,1.39626
625,2.5,2.95714,1.72857,1.39626
626,2.5,2.95714,2.34286,1.39626
627,2.5,2.95714,2.95714,1.39626
628,2.5,2.95714,3.57143,1.39626
629,2.5,2.95714,4.18571,1.39626
630,2.5,2.95714,4.8,1.39626
631,2.5,3.57143,0.5,1.39626
632,2.5,3.57143,1.11429,1.39626
633,2.5,3.57143,1.72857,1.39626
